pair,direction,lag,p_value,n
EUR_USD,sentiment_to_return,1,0.0005,1108
EUR_USD,sentiment_to_return,2,0.0003,1108
EUR_USD,sentiment_to_return,3,0.0008,1108
EUR_USD,sentiment_to_return,4,0.0011,1108
EUR_USD,sentiment_to_return,5,0.0022,1108
EUR_USD,return_to_sentiment,1,0.0041,1108
EUR_USD,return_to_sentiment,2,0.0261,1108
EUR_USD,return_to_sentiment,3,0.0385,1108
EUR_USD,return_to_sentiment,4,0.0523,1108
EUR_USD,return_to_sentiment,5,0.0974,1108
GBP_USD,sentiment_to_return,1,0.0,1105
GBP_USD,sentiment_to_return,2,0.0001,1105
GBP_USD,sentiment_to_return,3,0.0002,1105
GBP_USD,sentiment_to_return,4,0.0004,1105
GBP_USD,sentiment_to_return,5,0.0001,1105
GBP_USD,return_to_sentiment,1,0.2958,1105
GBP_USD,return_to_sentiment,2,0.7735,1105
GBP_USD,return_to_sentiment,3,0.7775,1105
GBP_USD,return_to_sentiment,4,0.8962,1105
GBP_USD,return_to_sentiment,5,0.6191,1105
