date,open,high,low,close,adjusted_close,volume
2022-01-03,1.0372,1.0391,1.0349,1.0372,1.0372,0
2022-01-04,1.0379,1.0383,1.0335,1.0379,1.0379,0
2022-01-05,1.0337,1.0384,1.0335,1.0337,1.0337,0
2022-01-06,1.0377,1.0402,1.0374,1.0376,1.0376,0
2022-01-07,1.0408,1.045,1.0405,1.0407,1.0407,0
2022-01-10,1.0431,1.0483,1.0426,1.0432,1.0432,0
2022-01-11,1.0504,1.0511,1.0487,1.0505,1.0505,0
2022-01-12,1.0497,1.0505,1.0437,1.0496,1.0496,0
2022-01-13,1.0458,1.0487,1.0425,1.0457,1.0457,0
2022-01-14,1.0437,1.0447,1.0417,1.0438,1.0438,0
2022-01-17,1.0434,1.0445,1.0418,1.0434,1.0434,0
2022-01-18,1.0428,1.0438,1.0387,1.0427,1.0427,0
2022-01-19,1.039,1.0402,1.0371,1.0389,1.0389,0
2022-01-20,1.0387,1.0394,1.037,1.0385,1.0385,0
2022-01-21,1.0372,1.0374,1.0334,1.0373,1.0373,0
2022-01-24,1.0347,1.0356,1.0297,1.035,1.035,0
2022-01-25,1.0351,1.0384,1.0346,1.0351,1.0351,0
2022-01-26,1.0374,1.0396,1.0367,1.0376,1.0376,0
2022-01-27,1.0386,1.0396,1.0369,1.0387,1.0387,0
2022-01-28,1.0375,1.0389,1.0358,1.0375,1.0375,0
2022-01-31,1.0385,1.044,1.0376,1.0384,1.0384,0
2022-02-01,1.0411,1.0413,1.037,1.041,1.041,0
2022-02-02,1.0382,1.0407,1.0376,1.0383,1.0383,0
2022-02-03,1.0382,1.0526,1.0381,1.0385,1.0385,0
2022-02-04,1.0524,1.0593,1.0523,1.0524,1.0524,0
2022-02-07,1.0598,1.0598,1.0549,1.0594,1.0594,0
2022-02-08,1.0561,1.0571,1.0529,1.0561,1.0561,0
2022-02-09,1.0564,1.0567,1.0542,1.0564,1.0564,0
2022-02-10,1.0556,1.0611,1.0549,1.0556,1.0556,0
2022-02-11,1.0564,1.0572,1.0544,1.0561,1.0561,0
2022-02-14,1.0509,1.0513,1.0448,1.0509,1.0509,0
2022-02-15,1.0452,1.0529,1.0445,1.0453,1.0453,0
2022-02-16,1.0509,1.0548,1.0484,1.0509,1.0509,0
2022-02-17,1.0484,1.0494,1.0447,1.0484,1.0484,0
2022-02-18,1.0451,1.048,1.0428,1.0453,1.0453,0
2022-02-21,1.0418,1.0466,1.0373,1.0421,1.0421,0
2022-02-22,1.0357,1.046,1.0338,1.0357,1.0357,0
2022-02-23,1.0441,1.0459,1.0375,1.044,1.044,0
2022-02-24,1.0373,1.0374,1.028,1.0373,1.0373,0
2022-02-25,1.0359,1.0444,1.0333,1.036,1.036,0
2022-02-28,1.0361,1.047,1.0292,1.036,1.036,0
2022-03-01,1.0289,1.0297,1.0201,1.029,1.029,0
2022-03-02,1.0224,1.0261,1.0158,1.0225,1.0225,0
2022-03-03,1.0231,1.0232,1.0164,1.0229,1.0229,0
2022-03-04,1.0157,1.0163,1.0019,1.0163,1.0163,0
2022-03-07,1.0005,1.0096,0.9975,1.0005,1.0005,0
2022-03-08,1.0055,1.0133,1.0048,1.0056,1.0056,0
2022-03-09,1.0131,1.0264,1.0129,1.013,1.013,0
2022-03-10,1.0259,1.0302,1.0207,1.0259,1.0259,0
2022-03-11,1.0234,1.0277,1.0198,1.0236,1.0236,0
2022-03-14,1.0218,1.0279,1.0204,1.0218,1.0218,0
2022-03-15,1.027,1.0336,1.0269,1.0269,1.0269,0
2022-03-16,1.0318,1.0374,1.0302,1.0319,1.0319,0
2022-03-17,1.0378,1.0401,1.0361,1.0376,1.0376,0
2022-03-18,1.0388,1.04,1.0308,1.0389,1.0389,0
2022-03-21,1.0301,1.0322,1.0262,1.0302,1.0302,0
2022-03-22,1.0289,1.03,1.0265,1.0289,1.0289,0
2022-03-23,1.0293,1.0315,1.0245,1.0295,1.0295,0
2022-03-24,1.0244,1.0267,1.0219,1.0243,1.0243,0
2022-03-25,1.023,1.0238,1.0194,1.0232,1.0232,0
2022-03-28,1.0227,1.0298,1.0219,1.0227,1.0227,0
2022-03-29,1.0264,1.0385,1.025,1.0264,1.0264,0
2022-03-30,1.0327,1.0329,1.0288,1.0327,1.0327,0
2022-03-31,1.0302,1.0324,1.0218,1.0302,1.0302,0
2022-04-01,1.0221,1.0243,1.0199,1.0221,1.0221,0
2022-04-04,1.0225,1.0239,1.016,1.0225,1.0225,0
2022-04-05,1.0165,1.0171,1.0131,1.0165,1.0165,0
2022-04-06,1.0138,1.0203,1.0134,1.0138,1.0138,0
2022-04-07,1.0167,1.0196,1.0146,1.0167,1.0167,0
2022-04-08,1.0152,1.0178,1.0139,1.0152,1.0152,0
2022-04-11,1.0168,1.0204,1.0122,1.0168,1.0168,0
2022-04-12,1.0131,1.0155,1.0091,1.0131,1.0131,0
2022-04-13,1.0096,1.0151,1.0087,1.0096,1.0096,0
2022-04-14,1.0175,1.021,1.0136,1.0175,1.0175,0
2022-04-15,1.0203,1.021,1.0171,1.0203,1.0203,0
2022-04-18,1.0191,1.0199,1.0174,1.0191,1.0191,0
2022-04-19,1.0184,1.0244,1.0177,1.0184,1.0184,0
2022-04-20,1.0276,1.03,1.0246,1.0276,1.0276,0
2022-04-21,1.0296,1.0369,1.0288,1.0296,1.0296,0
2022-04-22,1.0333,1.035,1.0308,1.0333,1.0333,0
2022-04-25,1.033,1.0335,1.0245,1.033,1.033,0
2022-04-26,1.0267,1.0289,1.0211,1.0267,1.0267,0
2022-04-27,1.0241,1.0258,1.0198,1.0241,1.0241,0
2022-04-28,1.0224,1.0241,1.019,1.0224,1.0224,0
2022-04-29,1.0207,1.0264,1.0189,1.0207,1.0207,0
2022-05-02,1.026,1.0291,1.0228,1.026,1.026,0
2022-05-03,1.0273,1.0312,1.0254,1.0273,1.0273,0
2022-05-04,1.0299,1.0373,1.0284,1.0299,1.0299,0
2022-05-05,1.0336,1.0391,1.0317,1.0336,1.0336,0
2022-05-06,1.0385,1.045,1.0333,1.0385,1.0385,0
2022-05-09,1.0417,1.0491,1.0411,1.0417,1.0417,0
2022-05-10,1.0491,1.0514,1.0455,1.0491,1.0491,0
2022-05-11,1.0485,1.0492,1.0432,1.0485,1.0485,0
2022-05-12,1.0454,1.0476,1.0363,1.0454,1.0454,0
2022-05-13,1.0411,1.0426,1.038,1.0411,1.0411,0
2022-05-16,1.0423,1.0488,1.0416,1.0423,1.0423,0
2022-05-17,1.0458,1.048,1.0431,1.0458,1.0458,0
2022-05-18,1.0482,1.0495,1.0366,1.0482,1.0482,0
2022-05-19,1.0337,1.0359,1.023,1.0337,1.0337,0
2022-05-20,1.0284,1.0302,1.0255,1.0284,1.0284,0
2022-05-23,1.0304,1.0334,1.027,1.0304,1.0304,0
2022-05-24,1.0318,1.0348,1.0286,1.0318,1.0318,0
2022-05-25,1.0307,1.0313,1.0239,1.0307,1.0307,0
2022-05-26,1.0275,1.0308,1.0247,1.0275,1.0275,0
2022-05-27,1.0287,1.0318,1.0234,1.0287,1.0287,0
2022-05-30,1.0277,1.0336,1.0273,1.0277,1.0277,0
2022-05-31,1.0322,1.0334,1.0254,1.0322,1.0322,0
2022-06-01,1.0299,1.0318,1.0257,1.0299,1.0299,0
2022-06-02,1.0257,1.0299,1.0222,1.0257,1.0257,0
2022-06-03,1.0293,1.0327,1.0281,1.0293,1.0293,0
2022-06-06,1.032,1.0367,1.0307,1.032,1.032,0
2022-06-07,1.0384,1.0436,1.0371,1.0384,1.0384,0
2022-06-08,1.0413,1.0491,1.0405,1.0413,1.0413,0
2022-06-09,1.049,1.0511,1.0375,1.049,1.049,0
2022-06-10,1.0411,1.0414,1.0376,1.0411,1.0411,0
2022-06-13,1.0378,1.0404,1.0362,1.0378,1.0378,0
2022-06-14,1.038,1.0438,1.0339,1.038,1.038,0
2022-06-15,1.0433,1.0477,1.0399,1.0433,1.0433,0
2022-06-16,1.0399,1.0415,1.0132,1.0399,1.0399,0
2022-06-17,1.0195,1.0216,1.01,1.0195,1.0195,0
2022-06-20,1.0171,1.0192,1.0132,1.0171,1.0171,0
2022-06-21,1.0173,1.0215,1.0164,1.0173,1.0173,0
2022-06-22,1.0174,1.0179,1.0135,1.0174,1.0174,0
2022-06-23,1.0157,1.0165,1.0071,1.0157,1.0157,0
2022-06-24,1.0113,1.0136,1.005,1.0113,1.0113,0
2022-06-27,1.0114,1.0156,1.0102,1.0114,1.0114,0
2022-06-28,1.0115,1.0129,1.0057,1.0115,1.0115,0
2022-06-29,1.0067,1.0076,0.9976,1.0067,1.0067,0
2022-06-30,0.9967,1.001,0.9946,0.9967,0.9967,0
2022-07-01,1.0007,1.0041,0.9977,1.0007,1.0007,0
2022-07-04,1.0,1.0045,0.9974,1.0,1.0,0
2022-07-05,1.0024,1.0031,0.9923,1.0024,1.0024,0
2022-07-06,0.9934,0.9945,0.9873,0.9934,0.9934,0
2022-07-07,0.9881,0.993,0.9872,0.9881,0.9881,0
2022-07-08,0.9901,0.9951,0.9865,0.9901,0.9901,0
2022-07-11,0.9939,0.9941,0.9872,0.9939,0.9939,0
2022-07-12,0.9873,0.9897,0.9837,0.9873,0.9873,0
2022-07-13,0.9849,0.9878,0.9806,0.9849,0.9849,0
2022-07-14,0.984,0.9884,0.9825,0.984,0.984,0
2022-07-15,0.9855,0.9873,0.9826,0.9855,0.9855,0
2022-07-18,0.9846,0.9933,0.9836,0.9846,0.9846,0
2022-07-19,0.9917,0.9944,0.9896,0.9917,0.9917,0
2022-07-20,0.9912,0.9943,0.9881,0.9912,0.9912,0
2022-07-21,0.9891,0.9949,0.9872,0.9891,0.9891,0
2022-07-22,0.9875,0.9876,0.9809,0.9875,0.9875,0
2022-07-25,0.9822,0.9882,0.9814,0.9822,0.9822,0
2022-07-26,0.9857,0.9866,0.9742,0.9857,0.9857,0
2022-07-27,0.9746,0.9775,0.9741,0.9746,0.9746,0
2022-07-28,0.9777,0.9804,0.9708,0.9777,0.9777,0
2022-07-29,0.9727,0.9752,0.9701,0.9727,0.9727,0
2022-08-01,0.9727,0.9756,0.9712,0.9727,0.9727,0
2022-08-02,0.9749,0.9763,0.9717,0.9749,0.9749,0
2022-08-03,0.9733,0.978,0.9722,0.9733,0.9733,0
2022-08-04,0.9762,0.9796,0.9759,0.9762,0.9762,0
2022-08-05,0.9776,0.9798,0.9757,0.9776,0.9776,0
2022-08-08,0.9786,0.9793,0.9717,0.9786,0.9786,0
2022-08-09,0.9738,0.9764,0.9726,0.9738,0.9738,0
2022-08-10,0.974,0.9746,0.9705,0.974,0.974,0
2022-08-11,0.9706,0.9731,0.9697,0.9706,0.9706,0
2022-08-12,0.9716,0.9721,0.9664,0.9716,0.9716,0
2022-08-15,0.9657,0.9663,0.9616,0.9657,0.9657,0
2022-08-16,0.9612,0.9678,0.9601,0.9612,0.9612,0
2022-08-17,0.9658,0.97,0.9649,0.9658,0.9658,0
2022-08-18,0.9683,0.9698,0.9651,0.9683,0.9683,0
2022-08-19,0.9652,0.9669,0.9612,0.9652,0.9652,0
2022-08-22,0.9618,0.963,0.9568,0.9618,0.9618,0
2022-08-23,0.9585,0.9639,0.9552,0.9585,0.9585,0
2022-08-24,0.9612,0.9649,0.9557,0.9612,0.9612,0
2022-08-25,0.9631,0.9655,0.9604,0.9631,0.9631,0
2022-08-26,0.9608,0.9672,0.96,0.9608,0.9608,0
2022-08-29,0.9625,0.9696,0.9612,0.9625,0.9625,0
2022-08-30,0.9682,0.9763,0.9664,0.9682,0.9682,0
2022-08-31,0.9763,0.9822,0.9736,0.9763,0.9763,0
2022-09-01,0.9829,0.9832,0.977,0.9829,0.9829,0
2022-09-02,0.9766,0.9862,0.976,0.9766,0.9766,0
2022-09-05,0.9743,0.9755,0.9709,0.9743,0.9743,0
2022-09-06,0.9737,0.9783,0.972,0.9737,0.9737,0
2022-09-07,0.9741,0.9772,0.9729,0.9741,0.9741,0
2022-09-08,0.9765,0.977,0.9663,0.9765,0.9765,0
2022-09-09,0.9694,0.9726,0.9633,0.9694,0.9694,0
2022-09-12,0.9667,0.9744,0.9634,0.9667,0.9667,0
2022-09-13,0.9652,0.9671,0.9603,0.9652,0.9652,0
2022-09-14,0.9586,0.9627,0.958,0.9586,0.9586,0
2022-09-15,0.9604,0.9611,0.9531,0.9604,0.9604,0
2022-09-16,0.9608,0.9662,0.9577,0.9608,0.9608,0
2022-09-19,0.9653,0.967,0.963,0.9653,0.9653,0
2022-09-20,0.9668,0.9681,0.9618,0.9668,0.9668,0
2022-09-21,0.961,0.9617,0.9527,0.961,0.961,0
2022-09-22,0.9515,0.9713,0.9465,0.9515,0.9515,0
2022-09-23,0.96,0.9621,0.9502,0.96,0.96,0
2022-09-26,0.9516,0.9567,0.9429,0.9516,0.9516,0
