date,open,high,low,close,adjusted_close,volume
2022-01-02,1.3529,1.3535,1.3521,1.3522,1.3522,79
2022-01-03,1.3522,1.353,1.3431,1.3483,1.3483,690
2022-01-04,1.3483,1.3558,1.346,1.353,1.353,189
2022-01-05,1.353,1.3599,1.3523,1.3555,1.3555,74
2022-01-06,1.3555,1.3559,1.3491,1.3533,1.3533,495
2022-01-07,1.3533,1.3598,1.3528,1.3589,1.3589,61
2022-01-09,1.3583,1.3594,1.3579,1.3592,1.3592,43
2022-01-10,1.3592,1.3604,1.3532,1.358,1.358,459
2022-01-11,1.358,1.3637,1.3562,1.3633,1.3633,154
2022-01-12,1.3633,1.3715,1.3621,1.3706,1.3706,106
2022-01-13,1.3706,1.3749,1.3701,1.3713,1.3713,57
2022-01-14,1.3713,1.3743,1.3654,1.3676,1.3676,456
2022-01-16,1.3676,1.3681,1.3666,1.3673,1.3673,94
2022-01-17,1.3673,1.369,1.3638,1.3648,1.3648,280
2022-01-18,1.3648,1.3662,1.3573,1.36,1.36,565
2022-01-19,1.36,1.3649,1.3588,1.3609,1.3609,105
2022-01-20,1.361,1.3662,1.3587,1.3597,1.3597,187
2022-01-21,1.3597,1.3602,1.3546,1.3553,1.3553,396
2022-01-23,1.3553,1.3556,1.3547,1.3555,1.3555,65
2022-01-24,1.3555,1.3566,1.3441,1.3489,1.3489,866
2022-01-25,1.3488,1.3519,1.3436,1.351,1.351,405
2022-01-26,1.351,1.3525,1.3445,1.3468,1.3468,502
2022-01-27,1.3467,1.3467,1.3358,1.3388,1.3388,831
2022-01-28,1.3388,1.3433,1.3365,1.34,1.34,186
2022-01-30,1.3397,1.3405,1.3387,1.3403,1.3403,95
2022-01-31,1.3403,1.3461,1.3393,1.3445,1.3445,90
2022-02-01,1.3445,1.3528,1.3435,1.3525,1.3525,95
2022-02-02,1.3525,1.3588,1.3517,1.3564,1.3564,78
2022-02-03,1.3564,1.3628,1.3538,1.3598,1.3598,211
2022-02-04,1.3598,1.3615,1.3505,1.3533,1.3533,700
2022-02-06,1.3538,1.3548,1.3531,1.3533,1.3533,74
2022-02-07,1.3533,1.3551,1.3491,1.3537,1.3537,334
2022-02-08,1.3537,1.3564,1.3508,1.3547,1.3547,236
2022-02-09,1.3547,1.3589,1.3527,1.3533,1.3533,169
2022-02-10,1.3533,1.3644,1.3524,1.3549,1.3549,88
2022-02-11,1.3549,1.361,1.3514,1.3557,1.3557,277
2022-02-13,1.3554,1.3572,1.3553,1.3569,1.3569,31
2022-02-14,1.3569,1.3572,1.3495,1.3532,1.3532,564
2022-02-15,1.3532,1.3567,1.3487,1.3541,1.3541,358
2022-02-16,1.3541,1.3601,1.3539,1.3582,1.3582,33
2022-02-17,1.3582,1.3638,1.3556,1.3615,1.3615,210
2022-02-18,1.3615,1.3643,1.3573,1.3588,1.3588,324
2022-02-20,1.3592,1.3599,1.3588,1.3591,1.3591,51
2022-02-21,1.3592,1.3639,1.3582,1.3595,1.3595,90
2022-02-22,1.3595,1.3605,1.3539,1.3589,1.3589,436
2022-02-23,1.3589,1.3621,1.3536,1.3545,1.3545,410
2022-02-24,1.3545,1.3547,1.3273,1.3372,1.3372,2028
2022-02-25,1.3372,1.3439,1.3367,1.341,1.341,56
2022-02-27,1.3337,1.3375,1.3329,1.3372,1.3372,82
2022-02-28,1.3372,1.3432,1.3342,1.3422,1.3422,248
2022-03-01,1.3422,1.3438,1.3302,1.3336,1.3336,911
2022-03-02,1.3336,1.3408,1.3272,1.3397,1.3397,498
2022-03-03,1.3397,1.3418,1.3318,1.3351,1.3351,609
2022-03-04,1.335,1.3352,1.3203,1.323,1.323,1127
2022-03-06,1.3227,1.3244,1.3202,1.3212,1.3212,207
2022-03-07,1.3212,1.3229,1.3102,1.3114,1.3114,849
2022-03-08,1.3114,1.3145,1.3082,1.3099,1.3099,258
2022-03-09,1.3099,1.319,1.3099,1.3185,1.3185,20
2022-03-10,1.3185,1.3195,1.3082,1.3103,1.3103,802
2022-03-11,1.3103,1.3125,1.3028,1.3035,1.3035,593
2022-03-13,1.3043,1.3053,1.3032,1.305,1.305,101
2022-03-14,1.305,1.3079,1.3001,1.301,1.301,391
2022-03-15,1.301,1.3089,1.3001,1.3044,1.3044,92
2022-03-16,1.3044,1.3157,1.3036,1.314,1.314,83
2022-03-17,1.314,1.3211,1.3088,1.3159,1.3159,418
2022-03-18,1.3159,1.3197,1.3122,1.3178,1.3178,298
2022-03-20,1.3179,1.318,1.3159,1.316,1.316,168
2022-03-21,1.316,1.321,1.3127,1.3169,1.3169,268
2022-03-22,1.3169,1.3272,1.3155,1.3266,1.3266,127
2022-03-23,1.3266,1.3299,1.3175,1.3206,1.3206,704
2022-03-24,1.3206,1.3214,1.3157,1.3194,1.3194,386
2022-03-25,1.3194,1.3225,1.3159,1.3182,1.3182,284
2022-03-27,1.3182,1.3187,1.3169,1.3173,1.3173,119
2022-03-28,1.3173,1.3177,1.3067,1.3099,1.3099,827
2022-03-29,1.3099,1.3106,1.3079,1.3093,1.3093,179
2022-03-30,1.3093,1.3183,1.3089,1.3138,1.3138,52
2022-03-31,1.3138,1.3176,1.3106,1.3146,1.3146,256
2022-04-01,1.3146,1.3147,1.3087,1.3115,1.3115,470
2022-04-03,1.3106,1.3112,1.31,1.3105,1.3105,70
2022-04-04,1.3105,1.3137,1.3093,1.3113,1.3113,106
2022-04-05,1.3113,1.3167,1.3067,1.3077,1.3077,369
2022-04-06,1.3077,1.3108,1.3046,1.3069,1.3069,257
2022-04-07,1.3069,1.3107,1.3052,1.3069,1.3069,152
2022-04-08,1.3069,1.3077,1.2982,1.3037,1.3037,684
2022-04-10,1.3031,1.304,1.3025,1.303,1.303,69
2022-04-11,1.303,1.3057,1.2989,1.3023,1.3023,333
2022-04-12,1.3023,1.3054,1.2994,1.3002,1.3002,242
2022-04-13,1.3002,1.3123,1.2973,1.3119,1.3119,242
2022-04-14,1.3119,1.3148,1.3034,1.3076,1.3076,669
2022-04-15,1.3054,1.3075,1.3051,1.3062,1.3062,37
2022-04-17,1.3055,1.3065,1.305,1.3057,1.3057,54
2022-04-18,1.3057,1.3058,1.3001,1.3008,1.3008,446
2022-04-19,1.3008,1.3041,1.2981,1.3014,1.3014,228
2022-04-20,1.3014,1.3074,1.2997,1.3068,1.3068,154
2022-04-21,1.3068,1.3091,1.3023,1.3025,1.3025,367
2022-04-22,1.3025,1.3033,1.2823,1.2838,1.2838,1569
2022-04-24,1.2839,1.2843,1.2826,1.2828,1.2828,116
2022-04-25,1.2828,1.283,1.2698,1.2738,1.2738,1039
2022-04-26,1.2738,1.2772,1.256,1.2582,1.2582,1414
2022-04-27,1.2582,1.2602,1.2503,1.254,1.254,647
2022-04-28,1.254,1.257,1.2412,1.2465,1.2465,1043
2022-04-29,1.2465,1.2615,1.2465,1.2576,1.2576,20
2022-05-01,1.2584,1.2589,1.257,1.2571,1.2571,131
2022-05-02,1.2571,1.2597,1.2473,1.25,1.25,796
2022-05-03,1.25,1.2567,1.2471,1.2499,1.2499,252
2022-05-04,1.2499,1.2638,1.2452,1.2617,1.2617,393
2022-05-05,1.2617,1.2633,1.2325,1.2363,1.2363,2330
2022-05-06,1.2363,1.2381,1.2276,1.2339,1.2339,717
2022-05-08,1.234,1.2348,1.2325,1.2326,1.2326,140
2022-05-09,1.2326,1.2406,1.2261,1.2336,1.2336,545
2022-05-10,1.2336,1.2376,1.2292,1.2307,1.2307,381
2022-05-11,1.2307,1.2401,1.2232,1.2234,1.2234,631
2022-05-12,1.2234,1.2249,1.2165,1.2205,1.2205,576
2022-05-13,1.2205,1.2263,1.2156,1.2262,1.2262,419
2022-05-15,1.2262,1.2297,1.2219,1.2259,1.2259,0
2022-05-16,1.2261,1.233,1.2217,1.2326,1.2326,373
2022-05-17,1.2326,1.2499,1.2321,1.2487,1.2487,59
2022-05-18,1.2487,1.2501,1.233,1.2345,1.2345,1280
2022-05-19,1.2344,1.2525,1.2338,1.2463,1.2463,69
2022-05-20,1.2463,1.2497,1.2438,1.2494,1.2494,225
2022-05-22,1.2483,1.251,1.2476,1.2504,1.2504,73
2022-05-23,1.2504,1.2601,1.25,1.2567,1.2567,47
2022-05-24,1.2566,1.2599,1.2472,1.2542,1.2542,772
2022-05-25,1.2542,1.2595,1.2481,1.2586,1.2586,501
2022-05-26,1.2586,1.2621,1.2552,1.2617,1.2617,291
2022-05-27,1.2617,1.2617,1.2617,1.2617,1.2617,20
2022-05-29,1.2625,1.2637,1.2623,1.2625,1.2625,33
2022-05-30,1.2625,1.266,1.2616,1.2646,1.2646,86
2022-05-31,1.2646,1.2649,1.2561,1.261,1.261,694
2022-06-01,1.261,1.2617,1.2459,1.2484,1.2484,1217
2022-06-02,1.2484,1.2587,1.247,1.2579,1.2579,134
2022-06-03,1.2578,1.259,1.2486,1.2489,1.2489,756
2022-06-05,1.249,1.2503,1.2487,1.249,1.249,42
2022-06-06,1.2491,1.2578,1.2477,1.2524,1.2524,128
2022-06-07,1.2524,1.26,1.2431,1.2588,1.2588,761
2022-06-08,1.2588,1.2589,1.2516,1.2541,1.2541,593
2022-06-09,1.2541,1.2559,1.2487,1.2493,1.2493,451
2022-06-10,1.2493,1.2518,1.2301,1.2317,1.2317,1552
2022-06-12,1.2319,1.2326,1.2272,1.2277,1.2277,402
2022-06-13,1.2277,1.2301,1.2108,1.2143,1.2143,1401
2022-06-14,1.2143,1.2209,1.1934,1.2011,1.2011,1739
2022-06-15,1.2011,1.2205,1.199,1.2175,1.2175,199
2022-06-16,1.2175,1.2407,1.2041,1.2351,1.2351,1115
2022-06-17,1.2351,1.2351,1.2173,1.2221,1.2221,1458
2022-06-19,1.2225,1.2232,1.2208,1.2228,1.2228,152
2022-06-20,1.2228,1.2281,1.22,1.2248,1.2248,251
